option_strategy,sigma,strike_base,window_size_ratio,expire_period,Close price,Strike,Option gain,Option gain est,Loss percent,Loss std,Average loss,Loss expect,Profit daily %
CALL_ONLY,0.900,MOV_AVG,2,30,163.570,230.731,4.500,-99.649,62.222,3742.448,3667.253,2281.846,-0.464
CALL_ONLY,0.900,MOV_AVG,5,5,163.570,198.618,23.500,-67.336,37.222,1834.590,1622.001,603.745,-0.709
CALL_ONLY,0.900,MOV_AVG,5,30,163.570,251.711,2.500,-99.996,57.222,4295.639,5760.588,3296.337,-0.671
CALL_ONLY,0.900,MOV_AVG,8,5,163.570,200.277,19.500,-69.105,27.222,2020.656,1853.867,504.664,-0.593
CALL_ONLY,0.900,MOV_AVG,8,30,163.570,255.943,2.000,-99.998,80.556,4632.190,6137.000,4943.694,-1.007
PUT_ONLY,0.500,CLOSE_PRICE,2,5,163.570,159.651,417.500,-9.068,67.222,1090.245,1056.809,710.411,-0.358
PUT_ONLY,0.500,CLOSE_PRICE,2,30,163.570,150.003,190.500,-41.416,68.889,2691.827,2979.866,2052.797,-0.380
PUT_ONLY,0.500,CLOSE_PRICE,5,5,163.570,157.420,325.000,-8.821,53.889,1040.844,1036.482,558.549,-0.286
PUT_ONLY,0.500,CLOSE_PRICE,5,30,163.570,149.715,142.500,-25.153,61.111,2567.916,3258.117,1991.072,-0.377
PUT_ONLY,0.500,CLOSE_PRICE,8,5,163.570,157.616,417.500,-27.535,41.111,1025.251,1003.697,412.631,0.006
PUT_ONLY,0.500,CLOSE_PRICE,8,30,163.570,146.150,100.500,-39.286,55.000,2476.876,3321.310,1826.720,-0.352
PUT_ONLY,0.500,MOV_AVG,2,5,163.570,171.108,1135.000,-10.324,59.444,1410.598,1538.648,914.641,0.269
PUT_ONLY,0.500,MOV_AVG,2,30,163.570,192.743,3152.500,-7.352,65.556,3116.094,3948.566,2588.504,0.115
PUT_ONLY,0.500,MOV_AVG,5,5,163.570,181.398,1967.500,-6.079,58.333,1818.080,2107.765,1229.530,0.902
PUT_ONLY,0.500,MOV_AVG,5,30,163.570,212.918,5142.500,-4.040,44.444,3841.118,4430.809,1969.248,0.647
PUT_ONLY,0.500,MOV_AVG,8,5,163.570,183.607,2200.000,-6.890,52.778,1977.655,2610.262,1377.638,1.006
PUT_ONLY,0.500,MOV_AVG,8,30,163.570,207.166,4392.500,-0.750,23.333,4038.819,5737.156,1338.670,0.622
